,Rating,Accuracy,Shot fired,Hits,Deaths,DMG_Get
561,32.3,11.60%,1965,228,33,289
562,29.1,9.90%,3035,300,28,410
563,29,10.60%,2490,263,32,365
564,65.4,32.00%,1197,383,33,319
565,62.6,16.90%,2106,355,25,252
566,55.8,11.30%,1688,191,13,139
567,47,16.00%,1168,187,15,174
568,38.6,13.80%,1345,186,19,204
569,25.7,6.40%,2402,153,25,223
570,24.9,10.70%,2175,233,43,377
571,77.1,24.80%,1371,340,21,219
572,63.6,22.90%,1604,368,34,280
573,42.1,22.10%,1234,273,45,311
574,34.2,17.20%,953,164,19,214
575,16.3,8.60%,1011,87,22,208
576,68.3,23.40%,1734,406,49,422
577,62.7,16.60%,2535,421,34,339
578,61.9,19.30%,2025,390,44,416
579,54.7,12.90%,2401,309,35,332
580,36.4,15.20%,1466,223,32,313
581,32,13.90%,1278,178,39,374
582,26.9,18.90%,1169,221,53,442
583,25,19.40%,966,187,48,405
584,83.4,12.10%,2170,262,21,207
585,63.3,15.40%,1607,247,24,247
586,47.2,18.20%,1174,214,22,235
587,44.4,9.00%,1752,158,24,235
588,34.7,8.20%,1856,152,35,277
589,33.4,9.40%,1643,155,17,219
590,22.5,13.20%,1232,163,49,394
591,9.2,5.70%,1309,74,51,431
592,67,12.50%,3459,434,22,269
593,64.1,17.30%,3338,579,41,404
594,54.5,15.60%,3814,596,48,477
595,47.5,6.30%,4078,257,17,202
596,42.6,11.10%,3775,418,39,399
597,37.5,9.40%,2915,274,28,288
598,27.6,11.60%,2095,243,34,360
599,27.2,7.30%,2725,200,23,280
600,24.6,7.00%,2905,204,18,314
601,23.8,12.40%,2307,286,60,498
602,73.6,20.50%,1269,260,17,195
603,62,14.20%,2810,400,39,365
604,60.2,21.80%,1834,399,37,376
605,56,11.80%,2312,273,22,242
606,46.8,14.00%,2183,305,35,349
607,46.4,17.70%,2135,377,57,486
608,40.3,18.30%,1423,260,40,347
609,27.2,13.30%,1333,177,40,352
610,21.1,9.90%,1746,172,41,384
611,17.5,5.20%,2352,122,42,363
612,68.9,15.50%,3464,538,49,430
613,48.9,14.70%,1978,290,36,333
614,36,14.30%,2203,314,37,421
615,33.8,9.00%,2629,237,34,323
616,33.6,12.00%,2296,275,37,367
617,32.9,12.50%,2250,281,37,397
618,78.6,19.20%,3345,641,41,375
619,50.7,13.70%,3989,548,50,458
620,47,24.00%,1995,479,56,502
621,41.9,18.50%,2732,505,59,549
622,37,16.60%,2868,477,62,571
623,28.2,15.90%,2220,353,62,548
624,111.8,32.00%,1730,554,56,474
625,56.4,22.60%,1753,396,86,657
626,45.1,15.20%,2309,351,69,625
627,41.1,17.50%,2093,367,100,725
628,25.4,14.80%,949,140,47,357
629,9.9,6.00%,1342,81,69,527
630,192.8,22.10%,3516,778,11,193
631,176,38.40%,2748,1054,25,352
632,141.2,16.90%,4824,817,17,257
633,102.4,15.30%,4674,713,18,302
634,74.1,19.50%,2881,563,36,351
635,43.8,14.80%,2860,422,39,415
636,30.9,9.10%,2724,249,24,317
637,21.7,8.90%,3942,352,76,636
638,19.2,11.70%,3464,407,106,873
639,10.4,6.90%,3173,218,98,797
640,10.2,8.00%,2902,233,118,883
641,4.4,1.20%,5173,63,46,493
642,54.7,14.60%,3608,527,50,480
643,50.2,14.20%,2442,347,39,385
644,46.7,15.10%,3705,558,72,590
645,37.3,17.40%,1486,259,30,359
646,30.6,9.40%,2783,261,44,415
647,30,10.40%,2205,229,43,402
648,151.1,22.40%,3887,870,20,277
649,114.6,21.50%,5126,1101,40,457
650,57.5,14.80%,5667,836,54,627
651,49.2,12.00%,5143,616,43,516
652,47.8,14.20%,3809,539,54,482
653,40.8,12.30%,3046,376,38,382
